epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3803,2.27792,4.50504,1.19944,0.00091,0.09091,0.00042,0.00012,2.48206,4.38838,1.3679,8.574e-05,8.574e-05,8.574e-05
2,33.7722,1.85114,3.98307,1.01922,0.00448,0.36848,0.00514,0.00192,2.10812,4.12428,1.15929,0.000183931,0.000183931,0.000183931
3,55.4075,1.78075,3.24851,1.00061,0.00798,0.56245,0.00758,0.00208,2.04493,4.02661,1.10955,0.000280141,0.000280141,0.000280141
4,74.8321,1.6969,2.62541,0.95743,0.01134,0.73519,0.31656,0.12174,1.89735,3.71972,1.08473,0.000374371,0.000374371,0.000374371
5,94.3336,1.72522,2.08854,0.97584,0.01017,0.6252,0.32,0.10545,2.13364,3.48116,1.17222,0.00046662,0.00046662,0.00046662
6,107.332,1.67431,2.05316,0.95315,0.01464,0.84008,0.39619,0.13585,2.07507,3.277,1.17381,0.000556888,0.000556888,0.000556888
7,121.887,1.64339,1.77409,0.97669,0.01551,0.89136,0.47549,0.20844,1.95579,3.10207,1.13012,0.000645176,0.000645176,0.000645176
8,135.335,1.69418,1.64197,0.96889,0.71087,0.28498,0.56738,0.23657,2.01494,2.77923,1.11714,0.000731484,0.000731484,0.000731484
9,148.793,1.59156,1.45541,0.97141,0.68437,0.34285,0.60467,0.24476,2.03731,2.65526,1.13472,0.00081581,0.00081581,0.00081581
10,162.082,1.69483,1.44323,0.97074,0.73277,0.34753,0.59156,0.27221,1.90782,2.59346,1.11837,0.000898157,0.000898157,0.000898157
11,176.539,1.65309,1.39099,0.98631,0.80342,0.21255,0.58602,0.28005,1.79201,2.83694,1.11158,0.000978522,0.000978522,0.000978522
12,190.188,1.61702,1.37888,0.95157,0.82035,0.29805,0.63469,0.28571,1.85623,2.6866,1.11723,0.00105691,0.00105691,0.00105691
13,204.14,1.55658,1.2919,0.96643,0.6206,0.54006,0.66784,0.29363,1.91786,2.13651,1.1394,0.00113331,0.00113331,0.00113331
