epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.30427,2.87499,4.73465,1.49118,0,0,0,0,3.18549,4.74236,1.78052,1.429e-05,1.429e-05,1.429e-05
2,6.09217,2.7175,4.58882,1.42021,0,0,0,0,2.99538,4.63119,1.69601,4.24456e-05,4.24456e-05,4.24456e-05
3,8.8479,2.54063,4.62734,1.46991,0,0,0,0,2.64555,4.49527,1.50797,7.00353e-05,7.00353e-05,7.00353e-05
4,11.6401,2.43165,4.34972,1.27731,0,0,0,0,2.34728,4.39278,1.36233,9.70591e-05,9.70591e-05,9.70591e-05
5,14.4269,2.20721,4.1799,1.204,0,0,0,0,2.14077,4.31685,1.25713,0.000123517,0.000123517,0.000123517
6,17.2594,2.19769,3.99956,1.16635,0.00173,0.05,0.00016,3e-05,1.98602,4.25567,1.15756,0.000149409,0.000149409,0.000149409
7,20.1187,2.10955,4.13384,1.07,0.00532,0.18333,0.001,0.00024,1.96029,4.1951,1.13671,0.000174735,0.000174735,0.000174735
8,22.9094,2.02943,3.75449,1.05894,0.00832,0.31667,0.00264,0.00089,1.80111,4.13304,1.08572,0.000199496,0.000199496,0.000199496
9,25.6543,1.78335,3.65695,1.07668,0.01553,0.66667,0.01048,0.00347,1.69185,4.08865,1.04195,0.00022369,0.00022369,0.00022369
10,28.3745,1.96112,3.46798,1.02977,0.01853,0.85,0.01626,0.00612,1.6384,4.0515,1.03858,0.000247318,0.000247318,0.000247318
11,31.284,1.8805,3.14817,1.00921,0.02037,0.95,0.02026,0.00642,1.60079,3.9906,1.03181,0.000270381,0.000270381,0.000270381
12,34.0115,1.83766,3.03229,1.0337,0.02037,0.95,0.02026,0.00642,1.60079,3.9906,1.03181,0.000292878,0.000292878,0.000292878
13,36.8339,1.89673,2.97064,1.03472,0.01671,0.85,0.01559,0.00512,1.57367,3.9453,1.02477,0.000314809,0.000314809,0.000314809
14,39.6109,1.90211,2.88537,1.04725,0.01749,0.9,0.01717,0.00587,1.58111,3.86174,1.03071,0.000336174,0.000336174,0.000336174
15,42.3705,1.87288,2.64757,0.96675,0.01749,0.9,0.01717,0.00587,1.58111,3.86174,1.03071,0.000356973,0.000356973,0.000356973
16,45.15,1.81328,2.35574,1.05907,0.01719,0.9,0.03139,0.00699,1.66125,3.72844,1.04148,0.000377206,0.000377206,0.000377206
17,48.0229,1.84995,2.42757,1.06821,0.01708,0.9,0.14976,0.04137,1.75505,3.62449,1.06681,0.000396873,0.000396873,0.000396873
18,50.7171,1.7607,2.20517,1.01203,0.01708,0.9,0.14976,0.04137,1.75505,3.62449,1.06681,0.000415975,0.000415975,0.000415975
19,53.4682,1.75244,2.15081,1.06075,0.01577,0.81667,0.23148,0.07839,1.88248,3.55664,1.11997,0.00043451,0.00043451,0.00043451
20,56.2172,1.87828,2.29149,1.02799,0.01577,0.81667,0.23148,0.07839,1.88248,3.55664,1.11997,0.00045248,0.00045248,0.00045248
21,58.9972,1.76486,2.32549,1.01453,0.01706,0.9,0.15845,0.0471,1.9858,3.50453,1.14998,0.000469884,0.000469884,0.000469884
22,61.6861,1.93681,2.19078,0.99574,0.01706,0.9,0.15845,0.0471,1.9858,3.50453,1.14998,0.000486722,0.000486722,0.000486722
23,64.4555,1.8383,2.08961,1.05071,0.01812,0.95,0.2171,0.07572,1.85625,3.40687,1.10977,0.000502994,0.000502994,0.000502994
24,67.109,1.72376,1.94756,1.02716,0.01812,0.95,0.2171,0.07572,1.85625,3.40687,1.10977,0.0005187,0.0005187,0.0005187
25,69.8152,1.77249,2.01401,1.00587,0.01912,1,0.37777,0.18186,1.59842,3.2023,1.03358,0.00053384,0.00053384,0.00053384
26,72.5001,1.74077,2.07044,1.02342,0.01912,1,0.37777,0.18186,1.59842,3.2023,1.03358,0.000548414,0.000548414,0.000548414
27,75.1372,1.76405,2.07279,1.03539,0.01912,1,0.37777,0.18186,1.59842,3.2023,1.03358,0.000562423,0.000562423,0.000562423
28,77.8643,1.67319,1.80773,1.02614,0.01918,1,0.49796,0.23888,1.54267,3.09473,1.02886,0.000575866,0.000575866,0.000575866
29,80.6247,1.78132,1.94913,1.05437,0.01918,1,0.49796,0.23888,1.54267,3.09473,1.02886,0.000588742,0.000588742,0.000588742
30,83.3684,1.65755,1.80972,0.99433,0.01863,1,0.57274,0.27359,1.72588,2.97949,1.07935,0.000601053,0.000601053,0.000601053
31,86.1299,1.68405,1.75603,1.04897,0.01863,1,0.57274,0.27359,1.72588,2.97949,1.07935,0.000612798,0.000612798,0.000612798
32,88.8572,1.60774,1.73162,0.97689,0.01863,1,0.57274,0.27359,1.72588,2.97949,1.07935,0.000623977,0.000623977,0.000623977
33,91.5948,1.73357,1.65696,0.973,0.01849,1,0.48187,0.25428,1.76387,2.91943,1.1123,0.00063459,0.00063459,0.00063459
34,94.2331,1.65999,1.65054,0.98931,0.01849,1,0.48187,0.25428,1.76387,2.91943,1.1123,0.000644638,0.000644638,0.000644638
35,96.8943,1.60372,1.68709,0.99612,0.01849,1,0.48187,0.25428,1.76387,2.91943,1.1123,0.000654119,0.000654119,0.000654119
36,99.6216,1.70909,1.65343,1.07608,0.01855,1,0.31722,0.174,1.73251,3.04398,1.12051,0.000663035,0.000663035,0.000663035
37,102.319,1.59974,1.65161,1.01481,0.01855,1,0.31722,0.174,1.73251,3.04398,1.12051,0.000671384,0.000671384,0.000671384
38,105.087,1.55996,1.50846,0.99793,0.01855,1,0.31722,0.174,1.73251,3.04398,1.12051,0.000679168,0.000679168,0.000679168
39,107.9,1.59106,1.60337,1.02786,0.01791,0.91667,0.30282,0.14452,2.00864,3.0688,1.17357,0.000686386,0.000686386,0.000686386
40,110.716,1.58034,1.53804,1.02907,0.01791,0.91667,0.30282,0.14452,2.00864,3.0688,1.17357,0.000693038,0.000693038,0.000693038
41,113.501,1.73448,1.49212,1.00253,0.01791,0.91667,0.30282,0.14452,2.00864,3.0688,1.17357,0.000699124,0.000699124,0.000699124
42,116.289,1.52298,1.71182,0.99229,0.01657,0.83333,0.41648,0.22184,1.78509,2.96364,1.10574,0.000704644,0.000704644,0.000704644
43,119.006,1.63197,1.59006,1.01083,0.01657,0.83333,0.41648,0.22184,1.78509,2.96364,1.10574,0.000709599,0.000709599,0.000709599
44,121.729,1.68905,1.5683,1.04324,0.01657,0.83333,0.41648,0.22184,1.78509,2.96364,1.10574,0.000713987,0.000713987,0.000713987
45,124.454,1.58898,1.49506,1.02692,0.01657,0.83333,0.41648,0.22184,1.78509,2.96364,1.10574,0.00071781,0.00071781,0.00071781
46,127.182,1.55054,1.57202,1.01175,0.39499,0.25428,0.46266,0.26923,1.66373,2.83586,1.08258,0.000721066,0.000721066,0.000721066
47,129.933,1.68956,1.57261,1.07127,0.39499,0.25428,0.46266,0.26923,1.66373,2.83586,1.08258,0.000723757,0.000723757,0.000723757
48,132.674,1.52047,1.55885,0.97438,0.39499,0.25428,0.46266,0.26923,1.66373,2.83586,1.08258,0.000725882,0.000725882,0.000725882
49,135.375,1.60256,1.62164,0.99538,0.39499,0.25428,0.46266,0.26923,1.66373,2.83586,1.08258,0.000727441,0.000727441,0.000727441
50,138.109,1.45061,1.44495,0.98985,0.4033,0.28076,0.4877,0.27017,1.56581,2.48539,1.07431,0.000728434,0.000728434,0.000728434
51,140.87,1.59457,1.52819,1.01362,0.4033,0.28076,0.4877,0.27017,1.56581,2.48539,1.07431,0.000721645,0.000721645,0.000721645
52,143.59,1.67643,1.57617,0.9916,0.4033,0.28076,0.4877,0.27017,1.56581,2.48539,1.07431,0.000707498,0.000707498,0.000707498
53,146.242,1.47172,1.47902,0.95029,0.4033,0.28076,0.4877,0.27017,1.56581,2.48539,1.07431,0.000693351,0.000693351,0.000693351
54,149.054,1.6108,1.51772,0.99069,0.46477,0.56663,0.55474,0.28378,1.601,2.15345,1.08426,0.000679204,0.000679204,0.000679204
55,151.782,1.74251,1.38992,1.05221,0.46477,0.56663,0.55474,0.28378,1.601,2.15345,1.08426,0.000665057,0.000665057,0.000665057
56,154.469,1.58322,1.33501,0.98785,0.46477,0.56663,0.55474,0.28378,1.601,2.15345,1.08426,0.000650909,0.000650909,0.000650909
57,157.086,1.60385,1.55719,1.03745,0.46477,0.56663,0.55474,0.28378,1.601,2.15345,1.08426,0.000636762,0.000636762,0.000636762
58,159.834,1.49622,1.43743,0.95833,0.47068,0.6895,0.57698,0.30271,1.57732,1.81473,1.07205,0.000622615,0.000622615,0.000622615
