epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9143,2.07881,3.52222,1.97823,0.0032,1,0.30661,0.26042,0.62351,2.71046,0.76019,0.00022,0.00022,0.00022
2,52.9011,1.20731,2.32178,1.30804,1,0.21934,0.96183,0.71527,0.87784,2.39608,0.78551,0.000456964,0.000456964,0.000456964
3,87.14,1.11637,1.70409,1.15472,0.0032,1,0.84271,0.4649,0.85843,2.61788,0.82684,0.00069076,0.00069076,0.00069076
4,113.282,1.19024,1.65529,1.16702,0.90781,0.95833,0.95137,0.65504,1.06556,1.5803,0.94345,0.000921388,0.000921388,0.000921388
5,138.326,1.13847,1.47765,1.13634,0.93601,0.91667,0.95038,0.70148,0.96987,1.31221,0.84373,0.00114885,0.00114885,0.00114885
6,161.88,1.14875,1.43231,1.11733,0.49577,0.75,0.53826,0.24588,0.93807,1.9588,0.83234,0.00137314,0.00137314,0.00137314
7,186.314,1.08626,1.48368,1.10756,0.95482,0.95833,0.98014,0.7085,0.94482,1.39229,0.84711,0.00159426,0.00159426,0.00159426
8,210.041,1.06057,1.41633,1.08419,0.9544,0.95833,0.95003,0.70181,0.92482,1.43557,0.89621,0.00181222,0.00181222,0.00181222
9,234.869,1.11171,1.33426,1.09512,0.95332,0.95833,0.9574,0.74604,0.80362,1.22132,0.86617,0.0018944,0.0018944,0.0018944
10,258.681,1.1101,1.28408,1.11097,0.92542,0.95833,0.94133,0.76153,0.63319,2.40829,0.73613,0.0018812,0.0018812,0.0018812
11,282.21,0.93916,1.15035,1.03982,0.95519,0.95833,0.95483,0.68308,0.92012,1.57452,0.88638,0.001868,0.001868,0.001868
12,305.601,0.98554,1.10986,1.04112,0.95298,0.91667,0.95217,0.75286,0.78427,1.2142,0.78006,0.0018548,0.0018548,0.0018548
13,329.024,0.99615,1.15128,1.06907,0.95336,0.91667,0.93935,0.74273,0.82221,0.97993,0.83226,0.0018416,0.0018416,0.0018416
14,352.34,1.0534,1.10257,1.13615,0.91957,0.95298,0.93445,0.70932,0.87842,1.04005,0.85415,0.0018284,0.0018284,0.0018284
15,376.141,1.0198,1.05648,1.06589,0.94336,0.875,0.88104,0.60233,1.08951,1.22628,0.89548,0.0018152,0.0018152,0.0018152
16,400.688,0.98011,0.93443,1.02994,0.7889,0.77894,0.814,0.51843,1.27081,1.4306,1.00603,0.001802,0.001802,0.001802
17,424.588,0.97776,1.0214,1.02132,0.94781,0.91667,0.92895,0.77791,0.69014,1.03719,0.82629,0.0017888,0.0017888,0.0017888
18,448.033,0.98101,0.9847,1.02275,0.9443,0.875,0.91522,0.69316,0.9375,1.03424,0.85975,0.0017756,0.0017756,0.0017756
19,474.448,0.87897,0.88781,0.98286,0.95085,0.95833,0.96513,0.81552,0.61024,0.84621,0.71908,0.0017624,0.0017624,0.0017624
20,498.495,0.83064,0.84107,0.98337,0.95141,0.95833,0.95352,0.77509,0.66307,0.73989,0.75355,0.0017492,0.0017492,0.0017492
21,520.919,0.76213,0.80694,0.97997,0.95979,0.99484,0.9552,0.78615,0.68663,0.6554,0.78229,0.001736,0.001736,0.001736
22,543.494,0.81418,0.86413,0.9793,0.95978,0.99454,0.9602,0.79107,0.76633,0.66969,0.78768,0.0017228,0.0017228,0.0017228
23,566.223,0.80356,0.82399,0.98326,0.9579,1,0.9586,0.79207,0.65957,0.61443,0.74414,0.0017096,0.0017096,0.0017096
24,589.236,0.8441,0.83852,0.98593,0.95868,1,0.9602,0.77576,0.7772,0.61018,0.77728,0.0016964,0.0016964,0.0016964
25,612.115,0.88406,0.92049,1.00557,0.95999,0.99972,0.965,0.77936,0.73984,0.60155,0.74407,0.0016832,0.0016832,0.0016832
26,634.944,0.85485,0.77463,0.99832,0.95996,0.99908,0.957,0.77411,0.65154,0.60819,0.85874,0.00167,0.00167,0.00167
27,658.713,0.80918,0.73651,0.98021,0.95994,0.9984,0.9718,0.7432,0.78167,0.66007,0.7645,0.0016568,0.0016568,0.0016568
28,682.864,0.68295,0.69929,0.95013,0.95578,0.95833,0.98151,0.73257,0.93017,0.69181,0.76724,0.0016436,0.0016436,0.0016436
29,705.623,0.81884,0.79618,0.96445,0.95344,0.85376,0.90453,0.60099,1.11957,1.18266,0.85824,0.0016304,0.0016304,0.0016304
30,728.676,0.87535,0.76642,1.01667,0.94414,0.70448,0.91162,0.46253,1.38477,1.47159,0.9598,0.0016172,0.0016172,0.0016172
31,752.65,0.78603,0.6935,0.97311,0.95704,0.95833,0.95421,0.8148,0.66887,0.73501,0.74879,0.001604,0.001604,0.001604
32,777.01,0.69509,0.67865,0.94407,0.9545,0.95833,0.9412,0.77959,0.73896,0.82538,0.7694,0.0015908,0.0015908,0.0015908
33,801.414,0.68631,0.62198,0.91958,0.95553,0.95833,0.93897,0.6763,0.86254,0.94641,0.8451,0.0015776,0.0015776,0.0015776
34,823.638,0.75668,0.63492,0.97917,0.95415,0.95833,0.92966,0.74966,0.65192,0.6743,0.79403,0.0015644,0.0015644,0.0015644
35,846.603,0.75357,0.61373,0.92961,0.95524,0.95833,0.95431,0.77158,0.66059,0.53991,0.74979,0.0015512,0.0015512,0.0015512
36,869.024,0.82433,0.63285,0.97199,0.95589,0.95833,0.95431,0.7764,0.65387,0.53327,0.7359,0.001538,0.001538,0.001538
37,892.175,0.71752,0.60349,0.91707,0.9559,0.95833,0.92812,0.71306,0.90476,0.57225,0.82322,0.0015248,0.0015248,0.0015248
38,915.832,0.77336,0.68397,0.95309,0.95802,0.95112,0.93867,0.74806,0.8041,0.73197,0.79451,0.0015116,0.0015116,0.0015116
39,938.584,0.72825,0.59017,0.94671,0.91933,0.95002,0.92726,0.61765,0.76595,0.82534,0.7923,0.0014984,0.0014984,0.0014984
