epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2162,1.2907,4.78266,1.27205,0.00335,1,0.00716,0.00477,1.09213,3.65545,1.1019,0.00014,0.00014,0.00014
2,28.7231,0.99002,4.62214,0.94585,0.00333,1,0.01746,0.01232,0.95906,3.39728,0.99059,0.00029802,0.00029802,0.00029802
3,42.3579,0.93719,4.18818,0.84274,0.00333,1,0.01741,0.01075,1.05729,3.27138,1.02049,0.000453928,0.000453928,0.000453928
4,55.8982,0.88634,3.35594,0.85214,0.00333,1,0.01456,0.00996,1.05234,3.39018,1.04479,0.000607724,0.000607724,0.000607724
5,69.4115,1.19046,2.46352,1.07114,0.00333,1,0.995,0.688,1.15961,2.87952,1.02139,0.000759408,0.000759408,0.000759408
6,83.064,0.98155,2.68832,0.89978,0.00333,1,0.12135,0.08149,1.16052,3.16352,1.04838,0.00090898,0.00090898,0.00090898
7,96.5504,1.01883,2.03559,1.03097,0.00333,1,0.81058,0.47011,1.26269,2.78893,1.13398,0.00105644,0.00105644,0.00105644
8,110.022,0.9766,2.3392,0.93398,0.00333,1,0.16135,0.10361,1.21632,3.22967,1.156,0.00120179,0.00120179,0.00120179
9,123.608,0.92969,2.51504,0.98017,0.00333,1,0.25814,0.1653,1.14944,2.78473,1.15244,0.00134502,0.00134502,0.00134502
10,137.167,1.00897,1.80944,1.02254,0.16559,1,0.16583,0.11284,1.15257,4.40544,1.24322,0.00148615,0.00148615,0.00148615
11,150.93,1.11669,1.99636,1.16166,0.64275,1,0.995,0.50883,1.38912,2.56371,1.38494,0.00162516,0.00162516,0.00162516
12,164.809,0.93962,2.02756,0.93217,0.92737,1,0.995,0.68733,1.27037,2.34028,1.40648,0.00176206,0.00176206,0.00176206
13,178.52,0.94608,2.26692,0.99662,0.96685,1,0.995,0.71479,1.08243,2.19888,1.18797,0.0018416,0.0018416,0.0018416
14,192.258,1.06825,1.79028,1.04753,0.50175,0.67193,0.597,0.39875,1.00503,2.35833,1.08376,0.0018284,0.0018284,0.0018284
15,206.118,1.09723,2.15174,1.07231,0.93947,1,0.995,0.63017,1.16926,2.25296,1.11561,0.0018152,0.0018152,0.0018152
16,226.955,1.20453,1.63221,1.04371,0.97086,1,0.995,0.67158,1.20852,1.85164,1.14994,0.001802,0.001802,0.001802
17,246.919,1.02033,1.78403,1.02809,0.9694,1,0.995,0.68258,1.10985,2.02658,1.15904,0.0017888,0.0017888,0.0017888
18,260.102,1.04658,2.58964,0.9841,0.23531,1,0.2388,0.16761,1.05756,2.89593,1.12461,0.0017756,0.0017756,0.0017756
19,273.097,1.08097,1.69692,1.07051,0.98731,1,0.995,0.71317,1.04958,1.46519,1.11,0.0017624,0.0017624,0.0017624
20,286.833,1.00919,1.46091,1.0666,0.98499,1,0.995,0.66883,1.22988,1.57327,1.23249,0.0017492,0.0017492,0.0017492
21,300.572,1.09028,1.52401,1.05944,0.99087,1,0.995,0.68842,1.18009,1.23373,1.23928,0.001736,0.001736,0.001736
22,314.203,1.06781,1.54947,1.10594,0.99255,1,0.995,0.70392,1.09061,1.03123,1.1921,0.0017228,0.0017228,0.0017228
23,327.728,0.97314,1.35919,1.03712,0.9886,1,0.995,0.73242,1.05409,1.02949,1.14772,0.0017096,0.0017096,0.0017096
24,341.337,0.85517,1.63761,0.88393,0.98821,1,0.995,0.73908,1.00766,0.94953,1.14472,0.0016964,0.0016964,0.0016964
25,359.386,1.00773,1.27111,1.06458,0.9922,1,0.995,0.69708,0.97798,0.89534,1.12447,0.0016832,0.0016832,0.0016832
26,371.711,0.98301,1.19348,1.0271,0.9924,1,0.995,0.65267,1.14576,0.87151,1.20124,0.00167,0.00167,0.00167
27,383.833,0.96699,1.12507,1.00013,0.99237,1,0.995,0.66367,1.34458,0.96166,1.3592,0.0016568,0.0016568,0.0016568
28,395.85,0.81665,1.46138,0.86303,0.99084,1,0.995,0.66367,1.25351,1.04972,1.28758,0.0016436,0.0016436,0.0016436
29,407.844,1.01308,1.11471,0.97724,0.99211,1,0.995,0.74392,1.02397,0.91784,1.16946,0.0016304,0.0016304,0.0016304
30,419.927,1.06207,1.3656,1.04709,0.99248,1,0.995,0.7041,1.01715,1.02206,1.16527,0.0016172,0.0016172,0.0016172
31,432.007,0.98476,1.14074,0.98149,0.99174,1,0.995,0.70033,1.04252,1.14342,1.1762,0.001604,0.001604,0.001604
32,444.151,0.92337,1.29996,0.98709,0.99062,1,0.995,0.71658,1.09049,1.02485,1.21829,0.0015908,0.0015908,0.0015908
33,456.281,0.9691,1.1247,1.039,0.99102,1,0.995,0.6564,1.2643,0.99867,1.33038,0.0015776,0.0015776,0.0015776
34,468.355,1.048,1.18322,1.02895,0.99203,1,0.995,0.67803,1.21775,1.03188,1.28031,0.0015644,0.0015644,0.0015644
